"date",total
"2010-11-05",177.74
"2010-11-06",177.74
"2010-11-07",177.74
"2010-11-08",177.74
"2010-11-09",177.74
"2010-11-10",177.74
"2010-11-11",177.74
"2010-11-12",177.74
"2010-11-13",177.74
"2010-11-14",177.74
"2010-11-15",177.74
"2010-11-16",177.74
"2010-11-17",177.74
"2010-11-18",177.74
"2010-11-19",177.74
"2010-11-20",177.74
"2010-11-21",177.74
"2010-11-22",177.74
"2010-11-23",177.74
"2010-11-24",177.74
"2010-11-25",177.74
"2010-11-26",177.74
"2010-11-27",177.74
"2010-11-28",177.74
"2010-11-29",177.74
"2010-11-30",177.74
"2010-12-01",177.74
"2010-12-02",177.74
"2010-12-03",177.74
"2010-12-04",177.74
"2010-12-05",177.74
"2010-12-06",177.74
"2010-12-07",177.74
"2010-12-08",177.74
"2010-12-09",177.74
"2010-12-10",177.74
"2010-12-11",177.74
"2010-12-12",177.74
"2010-12-13",177.74
"2010-12-14",177.74
"2010-12-15",177.74
"2010-12-16",177.74
"2010-12-17",177.74
"2010-12-18",177.74
"2010-12-19",177.74
"2010-12-20",177.74
"2010-12-21",177.74
"2010-12-22",177.74
"2010-12-23",177.74
"2010-12-24",177.74
"2010-12-25",177.74
"2010-12-26",177.74
"2010-12-27",177.74
"2010-12-28",177.74
"2010-12-29",177.74
"2010-12-30",177.74
"2010-12-31",177.74
"2011-01-01",177.74
"2011-01-02",177.74
"2011-01-03",177.74
"2011-01-04",177.74
"2011-01-05",177.74
"2011-01-06",177.74
"2011-01-07",177.74
"2011-01-08",177.74
"2011-01-09",177.74
"2011-01-10",177.74
"2011-01-11",177.74
"2011-01-12",177.74
"2011-01-13",177.74
"2011-01-14",177.74
"2011-01-15",177.74
"2011-01-16",177.74
"2011-01-17",177.74
"2011-01-18",177.74
"2011-01-19",177.74
"2011-01-20",177.74
"2011-01-21",177.74
"2011-01-22",177.74
"2011-01-23",177.74
"2011-01-24",177.74
"2011-01-25",177.74
"2011-01-26",177.74
"2011-01-27",177.74
"2011-01-28",177.74
"2011-01-29",177.74
"2011-01-30",177.74
"2011-01-31",177.74
"2011-02-01",177.74
"2011-02-02",177.74
"2011-02-03",177.74
"2011-02-04",177.74
"2011-02-05",177.74
"2011-02-06",177.74
"2011-02-07",177.74
"2011-02-08",177.74
"2011-02-09",177.74
"2011-02-10",177.74
"2011-02-11",177.74
"2011-02-12",177.74
"2011-02-13",177.74
"2011-02-14",177.74
"2011-02-15",177.74
"2011-02-16",177.74
"2011-02-17",177.74
"2011-02-18",177.74
"2011-02-19",177.74
"2011-02-20",177.74
"2011-02-21",177.74
"2011-02-22",177.74
"2011-02-23",177.74
"2011-02-24",177.74
"2011-02-25",177.74
"2011-02-26",177.74
"2011-02-27",177.74
"2011-02-28",177.74
"2011-03-01",177.74
"2011-03-02",177.74
"2011-03-03",177.74
"2011-03-04",177.74
"2011-03-05",177.74
"2011-03-06",177.74
"2011-03-07",177.74
"2011-03-08",177.74
"2011-03-09",177.74
"2011-03-10",177.74
"2011-03-11",177.74
"2011-03-12",177.74
"2011-03-13",177.74
"2011-03-14",177.74
"2011-03-15",177.74
"2011-03-16",177.74
"2011-03-17",177.74
"2011-03-18",177.74
"2011-03-19",177.74
"2011-03-20",177.74
"2011-03-21",177.74
"2011-03-22",177.74
"2011-03-23",177.74
"2011-03-24",177.74
"2011-03-25",177.74
"2011-03-26",177.74
"2011-03-27",177.74
"2011-03-28",177.74
"2011-03-29",177.74
"2011-03-30",177.74
"2011-03-31",177.74
"2011-04-01",177.74
"2011-04-02",177.74
"2011-04-03",177.74
"2011-04-04",177.74
"2011-04-05",177.74
"2011-04-06",177.74
"2011-04-07",177.74
"2011-04-08",177.74
"2011-04-09",177.74
"2011-04-10",177.74
"2011-04-11",177.74
"2011-04-12",177.74
"2011-04-13",177.74
"2011-04-14",177.74
"2011-04-15",177.74
"2011-04-16",177.74
"2011-04-17",177.74
"2011-04-18",177.74
"2011-04-19",177.74
"2011-04-20",177.74
"2011-04-21",177.74
"2011-04-22",177.74
"2011-04-23",177.74
"2011-04-24",177.74
"2011-04-25",177.74
"2011-04-26",177.74
"2011-04-27",177.74
"2011-04-28",177.74
"2011-04-29",177.74
"2011-04-30",177.74
"2011-05-01",177.74
"2011-05-02",177.74
"2011-05-03",177.74
"2011-05-04",177.74
"2011-05-05",177.74
"2011-05-06",177.74
"2011-05-07",177.74
"2011-05-08",177.74
"2011-05-09",177.74
"2011-05-10",177.74
"2011-05-11",177.74
"2011-05-12",177.74
"2011-05-13",177.74
"2011-05-14",177.74
"2011-05-15",177.74
"2011-05-16",177.74
"2011-05-17",177.74
"2011-05-18",177.74
"2011-05-19",177.74
"2011-05-20",177.74
"2011-05-21",177.74
"2011-05-22",177.74
"2011-05-23",177.74
"2011-05-24",177.74
"2011-05-25",177.74
"2011-05-26",177.74
"2011-05-27",177.74
"2011-05-28",177.74
"2011-05-29",177.74
"2011-05-30",177.74
"2011-05-31",177.74
"2011-06-01",177.74
"2011-06-02",177.74
"2011-06-03",177.74
"2011-06-04",177.74
"2011-06-05",177.74
"2011-06-06",177.74
"2011-06-07",177.74
"2011-06-08",177.74
